"","lu_1998","lu_2019"
"408","Water","Water"
"409","Water","Water"
"410","Water","Water"
"411","Water","Water"
"412","Water","Water"
"413","Water","Water"
"414","Water","Water"
"415","Water","Water"
"416","Water","Water"
"417","Water","Water"
"418","Water","Water"
"419","Water","Water"
"420","Water","Water"
"421","Water","Water"
"422","Water","Water"
"423","Water","Water"
"424","Water","Water"
"425","Water","Water"
"426","Water","Water"
"427","Water","Water"
"428","Water","Water"
"429","Water","Water"
"430","Water","Water"
"431","Water","Water"
"432","Water","Water"
"433","Water","Water"
"434","Water","Water"
"435","Water","Forest"
"436","Water","Forest"
"437","Water","Forest"
"438","Water","Forest"
"439","Water","Forest"
"440","Water","Forest"
"441","Water","Forest"
"442","Grassland","Palm"
"443","Grassland","Palm"
"444","Grassland","Palm"
"445","Grassland","Palm"
"446","Grassland","Palm"
"447","Grassland","Palm"
"448","Grassland","Palm"
"449","Grassland","Palm"
"450","Grassland","Palm"
"451","Grassland","Palm"
"452","Grassland","Palm"
"453","Grassland","Palm"
"454","Grassland","Palm"
"455","Grassland","Palm"
"456","Grassland","Palm"
"457","Grassland","Palm"
"458","Grassland","Palm"
"459","Grassland","Palm"
"460","Grassland","Grassland"
"461","Grassland","Grassland"
"462","Grassland","Grassland"
"463","Grassland","Grassland"
"464","Grassland","Grassland"
"465","Grassland","Grassland"
"466","Grassland","Grassland"
"467","Grassland","Grassland"
"468","Grassland","Grassland"
"469","Grassland","Grassland"
"470","Grassland","Grassland"
"471","Grassland","Grassland"
"472","Grassland","Grassland"
"473","Grassland","Grassland"
"474","Grassland","Grassland"
"475","Grassland","Grassland"
"476","Grassland","Grassland"
"477","Grassland","Grassland"
"478","Grassland","Grassland"
"479","Grassland","Grassland"
"480","Grassland","Grassland"
"481","Grassland","Grassland"
"482","Grassland","Grassland"
"483","Grassland","Grassland"
"484","Grassland","Grassland"
"485","Grassland","Grassland"
"486","Grassland","Grassland"
"487","Grassland","Grassland"
"488","Grassland","Grassland"
"489","Grassland","Grassland"
"490","Grassland","Grassland"
"491","Grassland","Grassland"
"492","Grassland","Grassland"
"493","Grassland","Grassland"
"494","Grassland","Grassland"
"495","Grassland","Grassland"
"496","Grassland","Grassland"
"497","Grassland","Exposed soil / Urban"
"498","Grassland","Exposed soil / Urban"
"499","Grassland","Exposed soil / Urban"
"500","Grassland","Exposed soil / Urban"
"501","Grassland","Exposed soil / Urban"
"502","Grassland","Exposed soil / Urban"
"503","Grassland","Exposed soil / Urban"
"504","Grassland","Exposed soil / Urban"
"505","Grassland","Exposed soil / Urban"
"506","Grassland","Exposed soil / Urban"
"507","Grassland","Exposed soil / Urban"
"508","Grassland","Exposed soil / Urban"
"509","Grassland","Exposed soil / Urban"
"510","Grassland","Exposed soil / Urban"
"511","Grassland","Exposed soil / Urban"
"512","Grassland","Exposed soil / Urban"
"513","Grassland","Exposed soil / Urban"
"514","Grassland","Exposed soil / Urban"
"515","Grassland","Exposed soil / Urban"
"516","Grassland","Exposed soil / Urban"
"517","Grassland","Exposed soil / Urban"
"518","Grassland","Exposed soil / Urban"
"519","Grassland","Exposed soil / Urban"
"520","Grassland","Forest"
"521","Grassland","Forest"
"522","Grassland","Forest"
"523","Grassland","Forest"
"524","Grassland","Forest"
"525","Grassland","Forest"
"526","Grassland","Forest"
"527","Grassland","Forest"
"528","Grassland","Forest"
"529","Grassland","Forest"
"530","Grassland","Forest"
"531","Grassland","Forest"
"532","Grassland","Forest"
"533","Grassland","Forest"
"534","Grassland","Forest"
"535","Grassland","Forest"
"536","Grassland","Forest"
"537","Grassland","Forest"
"538","Grassland","Forest"
"539","Grassland","Forest"
"540","Grassland","Forest"
"541","Grassland","Forest"
"542","Grassland","Forest"
"543","Grassland","Forest"
"544","Grassland","Forest"
"545","Grassland","Forest"
"546","Grassland","Forest"
"547","Grassland","Forest"
"548","Grassland","Forest"
"549","Grassland","Forest"
"550","Grassland","Forest"
"551","Grassland","Forest"
"552","Grassland","Forest"
"553","Grassland","Forest"
"554","Grassland","Forest"
"555","Grassland","Forest"
"556","Grassland","Forest"
"557","Grassland","Forest"
"558","Grassland","Forest"
"559","Grassland","Forest"
"560","Grassland","Forest"
"561","Grassland","Forest"
"562","Grassland","Forest"
"563","Grassland","Forest"
"564","Grassland","Forest"
"565","Grassland","Forest"
"566","Grassland","Forest"
"567","Grassland","Forest"
"568","Grassland","Forest"
"569","Grassland","Forest"
"570","Grassland","Forest"
"571","Grassland","Forest"
"572","Grassland","Forest"
"573","Grassland","Forest"
"574","Grassland","Forest"
"575","Grassland","Forest"
"576","Grassland","Forest"
"577","Grassland","Forest"
"578","Grassland","Forest"
"579","Grassland","Forest"
"580","Grassland","Forest"
"581","Grassland","Forest"
"582","Grassland","Forest"
"583","Grassland","Forest"
"584","Grassland","Forest"
"585","Grassland","Forest"
"586","Grassland","Forest"
"587","Grassland","Forest"
"588","Grassland","Forest"
"589","Grassland","Forest"
"590","Grassland","Forest"
"591","Grassland","Forest"
"592","Grassland","Forest"
"593","Grassland","Forest"
"594","Grassland","Forest"
"595","Grassland","Forest"
"596","Grassland","Forest"
"597","Grassland","Forest"
"598","Grassland","Forest"
"599","Grassland","Forest"
"600","Grassland","Forest"
"601","Grassland","Forest"
"602","Grassland","Forest"
"603","Grassland","Forest"
"604","Grassland","Forest"
"605","Grassland","Forest"
"606","Grassland","Forest"
"607","Grassland","Forest"
"608","Grassland","Forest"
"609","Grassland","Forest"
"610","Grassland","Forest"
"611","Grassland","Forest"
"612","Grassland","Forest"
"613","Grassland","Forest"
"614","Grassland","Forest"
"615","Grassland","Forest"
"616","Grassland","Forest"
"617","Grassland","Forest"
"618","Grassland","Forest"
"619","Grassland","Forest"
"620","Grassland","Forest"
"621","Grassland","Forest"
"622","Grassland","Forest"
"623","Grassland","Forest"
"624","Grassland","Forest"
"625","Grassland","Forest"
"626","Grassland","Forest"
"627","Grassland","Forest"
"628","Grassland","Forest"
"629","Grassland","Forest"
"630","Grassland","Forest"
"631","Grassland","Forest"
"632","Grassland","Forest"
"633","Grassland","Forest"
"634","Grassland","Forest"
"635","Grassland","Forest"
"636","Grassland","Forest"
"637","Grassland","Forest"
"638","Grassland","Forest"
"639","Grassland","Forest"
"640","Grassland","Forest"
"641","Grassland","Forest"
"642","Grassland","Forest"
"643","Grassland","Forest"
"644","Grassland","Forest"
"645","Grassland","Forest"
"646","Grassland","Forest"
"647","Grassland","Forest"
"648","Grassland","Forest"
"649","Grassland","Forest"
"650","Grassland","Forest"
"651","Grassland","Forest"
"652","Grassland","Forest"
"653","Grassland","Forest"
"654","Grassland","Forest"
"655","Grassland","Forest"
"656","Grassland","Forest"
"657","Grassland","Forest"
"658","Grassland","Forest"
"659","Grassland","Forest"
"660","Grassland","Forest"
"661","Grassland","Forest"
"662","Grassland","Forest"
"663","Grassland","Forest"
"664","Grassland","Forest"
"665","Grassland","Forest"
"666","Grassland","Forest"
"667","Grassland","Forest"
"668","Grassland","Forest"
"669","Grassland","Forest"
"670","Grassland","Forest"
"671","Grassland","Forest"
"672","Grassland","Forest"
"673","Grassland","Forest"
"674","Grassland","Forest"
"675","Grassland","Forest"
"676","Grassland","Forest"
"677","Grassland","Forest"
"678","Grassland","Forest"
"679","Grassland","Forest"
"680","Grassland","Forest"
"681","Grassland","Forest"
"682","Grassland","Forest"
"683","Grassland","Forest"
"684","Grassland","Forest"
"685","Grassland","Forest"
"686","Grassland","Forest"
"687","Grassland","Forest"
"688","Grassland","Forest"
"689","Grassland","Forest"
"690","Grassland","Forest"
"691","Grassland","Forest"
"692","Grassland","Forest"
"693","Grassland","Forest"
"694","Grassland","Forest"
"695","Grassland","Forest"
"696","Grassland","Forest"
"697","Grassland","Forest"
"698","Grassland","Forest"
"699","Grassland","Forest"
"700","Grassland","Forest"
"701","Grassland","Forest"
"702","Grassland","Forest"
"703","Grassland","Forest"
"704","Grassland","Forest"
"705","Grassland","Forest"
"706","Grassland","Forest"
"707","Grassland","Forest"
"708","Grassland","Forest"
"709","Grassland","Forest"
"710","Grassland","Forest"
"711","Grassland","Forest"
"712","Grassland","Forest"
"713","Grassland","Forest"
"714","Grassland","Forest"
"715","Grassland","Forest"
"716","Grassland","Forest"
"717","Grassland","Forest"
"718","Grassland","Forest"
"719","Grassland","Forest"
"720","Grassland","Forest"
"721","Grassland","Forest"
"722","Grassland","Forest"
"723","Grassland","Forest"
"724","Grassland","Forest"
"725","Grassland","Forest"
"726","Grassland","Forest"
"727","Grassland","Forest"
"728","Grassland","Forest"
"729","Grassland","Forest"
"730","Grassland","Forest"
"731","Grassland","Forest"
"732","Grassland","Forest"
"733","Grassland","Forest"
"734","Grassland","Forest"
"735","Grassland","Forest"
"736","Grassland","Forest"
"737","Grassland","Forest"
"738","Grassland","Forest"
"739","Grassland","Forest"
"740","Grassland","Forest"
"741","Grassland","Forest"
"742","Grassland","Forest"
"743","Grassland","Forest"
"744","Grassland","Forest"
"745","Grassland","Forest"
"746","Grassland","Forest"
"747","Grassland","Forest"
"748","Grassland","Forest"
"749","Grassland","Forest"
"750","Grassland","Forest"
"751","Grassland","Forest"
"752","Grassland","Forest"
"753","Grassland","Forest"
"754","Grassland","Forest"
"755","Grassland","Forest"
"756","Grassland","Forest"
"757","Grassland","Forest"
"758","Grassland","Forest"
"759","Grassland","Forest"
"760","Grassland","Forest"
"761","Grassland","Forest"
"762","Grassland","Forest"
"763","Grassland","Forest"
"764","Grassland","Forest"
"765","Grassland","Forest"
"766","Grassland","Forest"
"767","Grassland","Forest"
"768","Grassland","Forest"
"769","Grassland","Forest"
"770","Grassland","Forest"
"771","Grassland","Forest"
"772","Grassland","Forest"
"773","Grassland","Forest"
"774","Grassland","Forest"
"775","Grassland","Forest"
"776","Grassland","Forest"
"777","Grassland","Forest"
"778","Grassland","Forest"
"779","Grassland","Forest"
"780","Grassland","Forest"
"781","Grassland","Forest"
"782","Grassland","Forest"
"783","Grassland","Forest"
"784","Grassland","Forest"
"785","Grassland","Forest"
"786","Grassland","Forest"
"787","Grassland","Forest"
"788","Grassland","Forest"
"789","Grassland","Forest"
"790","Grassland","Forest"
"791","Grassland","Forest"
"792","Grassland","Forest"
"793","Grassland","Forest"
"794","Grassland","Wetland"
"795","Grassland","Wetland"
"796","Grassland","Wetland"
"797","Grassland","Wetland"
"798","Grassland","Wetland"
"799","Grassland","Wetland"
"800","Grassland","Wetland"
"801","Grassland","Wetland"
"802","Grassland","Wetland"
"803","Grassland","Wetland"
"804","Grassland","Wetland"
"805","Grassland","Wetland"
"806","Grassland","Wetland"
"807","Grassland","Wetland"
"808","Grassland","Wetland"
"809","Grassland","Wetland"
"810","Grassland","Wetland"
"811","Grassland","Wetland"
"812","Grassland","Wetland"
"813","Grassland","Wetland"
"814","Grassland","Wetland"
"815","Grassland","Wetland"
"816","Grassland","Wetland"
"817","Grassland","Wetland"
"818","Grassland","Wetland"
"819","Grassland","Wetland"
"820","Grassland","Wetland"
"821","Grassland","Wetland"
"822","Grassland","Wetland"
"823","Grassland","Wetland"
"824","Grassland","Wetland"
"825","Grassland","Wetland"
"826","Grassland","Wetland"
"827","Grassland","Wetland"
"828","Grassland","Wetland"
"829","Grassland","Wetland"
"830","Grassland","Wetland"
"831","Grassland","Wetland"
"832","Grassland","Wetland"
"833","Grassland","Wetland"
"834","Grassland","Wetland"
"835","Grassland","Wetland"
"836","Grassland","Wetland"
"837","Grassland","Wetland"
"838","Grassland","Wetland"
"839","Grassland","Wetland"
"840","Grassland","Wetland"
"841","Grassland","Wetland"
"842","Grassland","Wetland"
"843","Grassland","Wetland"
"844","Grassland","Wetland"
"845","Grassland","Wetland"
"846","Grassland","Wetland"
"847","Grassland","Wetland"
"848","Grassland","Wetland"
"849","Grassland","Wetland"
"850","Grassland","Wetland"
"851","Grassland","Wetland"
"852","Grassland","Wetland"
"853","Grassland","Wetland"
"854","Grassland","Wetland"
"855","Grassland","Wetland"
"856","Grassland","Wetland"
"857","Grassland","Wetland"
"858","Grassland","Wetland"
"859","Grassland","Wetland"
"860","Grassland","Wetland"
"861","Grassland","Wetland"
"862","Grassland","Wetland"
"863","Grassland","Wetland"
"864","Grassland","Wetland"
"865","Grassland","Wetland"
"866","Grassland","Wetland"
"867","Grassland","Wetland"
"868","Grassland","Wetland"
"869","Grassland","Wetland"
